TipoTeste,Algoritmo,ArquivoLog,TamPagina,TamMemoria,PaginasLidas,PaginasEscritas
Teste1,lru,compilador.log,4,128,84401,11737
Teste1,lru,compilador.log,4,256,59089,8863
Teste1,lru,compilador.log,4,512,40821,6131
Teste1,lru,compilador.log,4,1024,25308,4231
Teste1,lru,compilador.log,4,2048,10425,2173
Teste1,lru,matriz.log,4,128,48254,9674
Teste1,lru,matriz.log,4,256,21656,5687
Teste1,lru,matriz.log,4,512,13250,3812
Teste1,lru,matriz.log,4,1024,5673,1866
Teste1,lru,matriz.log,4,2048,3632,1159
Teste1,lru,compressor.log,4,128,2133,702
Teste1,lru,compressor.log,4,256,1264,420
Teste1,lru,compressor.log,4,512,771,224
Teste1,lru,compressor.log,4,1024,397,48
Teste1,lru,compressor.log,4,2048,317,0
Teste1,lru,simulador.log,4,128,67747,13730
Teste1,lru,simulador.log,4,256,41186,9672
Teste1,lru,simulador.log,4,512,21090,6526
Teste1,lru,simulador.log,4,1024,11240,4092
Teste1,lru,simulador.log,4,2048,5823,2444
Teste1,random,compilador.log,4,128,106399,17226
Teste1,random,compilador.log,4,256,75046,12162
Teste1,random,compilador.log,4,512,51043,8572
Teste1,random,compilador.log,4,1024,32157,5809
Teste1,random,compilador.log,4,2048,16179,3407
Teste1,random,matriz.log,4,128,83476,18204
Teste1,random,matriz.log,4,256,35588,8528
Teste1,random,matriz.log,4,512,18265,5022
Teste1,random,matriz.log,4,1024,9265,2917
Teste1,random,matriz.log,4,2048,5243,1723
Teste1,random,compressor.log,4,128,2601,855
Teste1,random,compressor.log,4,256,1581,542
Teste1,random,compressor.log,4,512,931,313
Teste1,random,compressor.log,4,1024,404,68
Teste1,random,compressor.log,4,2048,317,0
Teste1,random,simulador.log,4,128,88506,19497
Teste1,random,simulador.log,4,256,51864,12633
Teste1,random,simulador.log,4,512,29072,8463
Teste1,random,simulador.log,4,1024,15794,5442
Teste1,random,simulador.log,4,2048,8782,3437
Teste1,clock,compilador.log,4,128,87686,12293
Teste1,clock,compilador.log,4,256,61640,9346
Teste1,clock,compilador.log,4,512,43017,6671
Teste1,clock,compilador.log,4,1024,26789,4528
Teste1,clock,compilador.log,4,2048,11472,2398
Teste1,clock,matriz.log,4,128,53025,11140
